Product_ID,Product_Name,Category,Country_of_Origin,Compliance_Status,Regulatory_Document,Review_Date,Reviewer_Name,Priority,Days_To_Review,Price_INR,Notes
PROD194,Hot Wheels Track Set 5 Cars,Toys,USA,Approved,CPSC,02-12-2025,Amit Singh,Low,5,1499,Documentation complete
PROD195,Hot Wheels Monster Truck,Toys,USA,Rejected,CPSC,03-12-2025,Kavita Reddy,High,22,899,Child safety test results needed
PROD196,Barbie Dreamhouse Playset,Toys,USA,Approved,CPSC,04-12-2025,Priya Sharma,Medium,9,12999,Documentation complete
PROD197,Barbie Fashionistas Doll,Toys,USA,Approved,CPSC,05-12-2025,Rajesh Kumar,Low,5,1299,Documentation complete
PROD198,Fisher Price Baby Gym Mat,Toys,USA,Pending Review,CPSC,06-12-2025,Sneha Patel,High,14,3499,Child safety test results needed
PROD199,Fisher Price Laugh & Learn,Toys,USA,Approved,CPSC,07-12-2025,Amit Singh,Low,7,2799,Documentation complete
PROD200,Nerf Elite 2.0 Blaster,Toys,USA,Re-submission Required,CPSC,08-12-2025,Kavita Reddy,Medium,13,1999,Packaging does not meet CPSC standards
PROD201,Play-Doh Modelling Compound 20pk,Toys,USA,Approved,CPSC,09-12-2025,Priya Sharma,Low,5,899,Documentation complete
PROD202,Monopoly Classic Board Game,Toys,USA,Approved,CPSC,10-12-2025,Rajesh Kumar,Low,6,1599,Documentation complete
PROD203,UNO Card Game Original,Toys,USA,Approved,CPSC,11-12-2025,Sneha Patel,Low,3,249,Documentation complete
PROD204,Rubik's Cube 3x3 Original,Toys,Hungary,Pending Review,CE-Mark,12-12-2025,Amit Singh,Low,9,799,Barcode format incorrect
PROD205,Transformers Optimus Prime,Toys,USA,Approved,CPSC,13-12-2025,Kavita Reddy,Low,7,2499,Documentation complete
PROD206,Philips Air Fryer HD9252 4.1L,Home & Kitchen,Netherlands,Approved,CE-Mark,14-12-2025,Priya Sharma,Low,9,8995,Documentation complete
PROD207,Philips Daily Collection Kettle,Home & Kitchen,Netherlands,Pending Review,CE-Mark,15-12-2025,Rajesh Kumar,Medium,11,1895,Testing report pending from lab
PROD208,Tefal Frying Pan 26cm,Home & Kitchen,France,Approved,CE-Mark,16-12-2025,Sneha Patel,Low,7,1799,Documentation complete
PROD209,Tefal Induction Cookware Set,Home & Kitchen,France,Rejected,CE-Mark,17-12-2025,Amit Singh,High,20,6999,Certification expired - renewal needed
PROD210,Pyrex Glass Bowl Set 3pcs,Home & Kitchen,USA,Approved,FDA,18-12-2025,Kavita Reddy,Low,6,1499,Documentation complete
PROD211,Tupperware Storage Set,Home & Kitchen,USA,Approved,FDA,19-12-2025,Priya Sharma,Low,7,2199,Documentation complete
PROD212,OXO Good Grips Kitchen Tools,Home & Kitchen,USA,Re-submission Required,FDA,20-12-2025,Rajesh Kumar,Medium,15,1899,Product dimensions mismatch
PROD213,KitchenAid Stand Mixer Classic,Home & Kitchen,USA,Approved,FDA,21-12-2025,Sneha Patel,Low,11,34990,Documentation complete
PROD214,Dyson V11 Vacuum Cleaner,Home & Kitchen,UK,Pending Review,CE-Mark,22-12-2025,Amit Singh,High,18,49900,Import duty classification unclear
PROD215,iRobot Roomba Vacuum Robot,Home & Kitchen,USA,Approved,FCC,23-12-2025,Kavita Reddy,Low,10,29990,Documentation complete
